instance,ALG1_obj,ALG1_runtime,ALG2_obj,ALG2_runtime,HRA_obj,HRA_runtime
rasp_gaussian_m250_k17_c25_s100_k16_g4,1004020.751317,61.035327,1306375.576714,299.640661,1764841.758903,109.231088
rasp_gaussian_m250_k17_c25_s100_k16_g5,991194.864542,64.611009,1257524.510686,348.659632,1846936.077193,105.682250
rasp_gaussian_m250_k17_c25_s100_k16_g6,1093075.473644,60.369256,1458341.008816,294.618215,2046916.637369,112.191191
rasp_gaussian_m250_k17_c25_s100_k16_g7,965248.829971,65.448506,1331612.092817,290.683293,1809029.720454,106.199115
rasp_gaussian_m250_k17_c25_s100_k16_g8,1025013.908014,63.029765,1365613.342887,292.900946,1887875.501962,112.047622
rasp_gaussian_m250_k17_c25_s100_k16_g9,999726.253698,63.091909,1396431.298327,297.120527,1914781.976198,109.681393
rasp_gaussian_m250_k18_c25_s100_k17_g1,1002181.049712,68.157379,1284977.485848,314.170017,1887906.687147,133.606769
rasp_gaussian_m250_k18_c25_s100_k17_g10,1007730.815248,71.216150,1327080.469092,362.244947,1925508.724187,129.770210
rasp_gaussian_m250_k18_c25_s100_k17_g2,1056499.195025,70.719508,1396312.898096,316.590838,2139443.497044,126.382059
rasp_gaussian_m250_k18_c25_s100_k17_g3,1027824.915497,74.152409,1415873.929182,331.209812,2066972.048475,130.164139
rasp_gaussian_m250_k18_c25_s100_k17_g4,1117025.938764,72.302170,1450547.412295,330.967197,2211324.531235,125.035532
rasp_gaussian_m250_k18_c25_s100_k17_g5,1055209.377325,84.210583,1451216.294190,344.138308,1991476.687539,133.173880
rasp_gaussian_m250_k18_c25_s100_k17_g6,1073897.577566,69.439644,1445548.524376,335.730629,2177270.423752,128.175168
rasp_gaussian_m250_k18_c25_s100_k17_g7,883730.415161,70.434243,1139849.837718,332.915331,1769220.557859,130.271029
rasp_gaussian_m250_k18_c25_s100_k17_g8,959371.466298,72.189088,1271452.467040,332.563140,1965048.463433,133.362031
rasp_gaussian_m250_k18_c25_s100_k17_g9,1099890.875118,72.811811,1451092.063816,399.909476,2099861.253751,128.946493
rasp_gaussian_m250_k19_c25_s100_k18_g1,1034932.310633,82.833310,1329442.683413,389.600247,2472604.030270,153.933721
rasp_gaussian_m250_k19_c25_s100_k18_g10,1082594.839480,83.259565,1503695.540645,379.090734,2540406.225698,159.499223
rasp_gaussian_m250_k19_c25_s100_k18_g2,984573.714770,81.855010,1303193.525910,375.913895,2417708.442000,157.583246
rasp_gaussian_m250_k19_c25_s100_k18_g3,1013412.216881,81.283268,1326140.011494,366.399258,2360173.468411,158.231084
rasp_gaussian_m250_k19_c25_s100_k18_g4,1085506.459980,81.556496,1475865.185130,382.453304,2780095.744711,151.602872
rasp_gaussian_m250_k19_c25_s100_k18_g5,1040566.664153,82.329113,1403256.923860,427.247312,2682649.265557,162.011931
rasp_gaussian_m250_k19_c25_s100_k18_g6,986854.165078,79.581651,1336537.557221,404.767202,2402187.752604,149.764134
rasp_gaussian_m250_k19_c25_s100_k18_g7,986660.884673,75.387283,1307243.604053,355.823026,2451118.483350,163.692950
rasp_gaussian_m250_k19_c25_s100_k18_g8,1054078.883696,82.127345,1402992.260991,378.553970,2719948.919453,153.281941
rasp_gaussian_m250_k19_c25_s100_k18_g9,1030429.668922,83.549504,1402695.464960,368.837451,2623215.137542,151.270640
rasp_gaussian_m250_k20_c25_s100_k19_g1,1059656.974040,92.433282,1399721.818706,504.330921,2108117.046010,188.062997
rasp_gaussian_m250_k20_c25_s100_k19_g10,1192733.955381,89.370122,1594283.898268,430.930444,2302034.591975,175.901307
